location distance crime_count
"(47.683047797999997, -122.29654324800001)" 0.04323411296 1
"(47.686201078000003, -122.36198881200001)" 0.0317797317536 1
"(47.667604848000003, -122.28569538799999)" 0.0605950869128 1
"(47.551203805, -122.28211092399999)" 0.0708451364967 5
"(47.518386360000001, -122.378185297)" 0.024271332374 6
"(47.604644639, -122.329287558)" 0.00049148064426 3
"(47.618143764000003, -122.323453468)" 0.00679771429488 2
"(47.537789371999999, -122.395194811)" 0.0331898654535 2
"(47.596664191000002, -122.31944654)" 0.0122755233663 12
"(47.679549485999999, -122.36631251599999)" 0.039100561555 1
"(47.666116334000002, -122.331272872)" 0.0369670035941 4
"(47.576325412999999, -122.388022827)" 0.0475572347395 5
"(47.541571976, -122.28347775899999)" 0.0774943852901 8
"(47.583977138999998, -122.334199158)" 0.0208121298457 1
"(47.598809490999997, -122.32896866999999)" 0.0053639224368 11
"(47.712071817000002, -122.302409936)" 0.0338079575279 2
"(47.671185446999999, -122.35593939100001)" 0.038031137329 1
"(47.629039589000001, -122.323505488)" 0.0150701172168 2
"(47.560108200000002, -122.286488582)" 0.0613375263063 10
"(47.667930378999998, -122.35688839399999)" 0.0412815639745 2
"(47.732605366000001, -122.31541766799999)" 0.0355516632881 2
"(47.682554713999998, -122.35663909500001)" 0.0297379808383 1
"(47.585947171999997, -122.31336661100001)" 0.0241143649392 3
"(47.614108340000001, -122.31618294099999)" 0.00162782591977 18
"(47.651357085000001, -122.39489672400001)" 0.0679473505608 1
"(47.611622162000003, -122.28879507400001)" 0.0287140282193 1
"(47.512599532999999, -122.269239915)" 0.095818746585 1
"(47.603931361000001, -122.31418684)" 0.0117986005042 2
"(47.623934450999997, -122.35801995200001)" 0.0227290458998 78
"(47.703175360000003, -122.327889942)" 0.00706542582532 2
"(47.546782061999998, -122.395571843)" 0.0350824176876 2
"(47.705065462999997, -122.349394733)" 0.0146061473854 7
"(47.737517265999998, -122.288100997)" 0.0582510445178 1
"(47.533619391000002, -122.39153720100001)" 0.0296474757621 14
"(47.626358687, -122.35342468499999)" 0.0195265713025 1
"(47.682338229000003, -122.37361151099999)" 0.0437892550685 5
"(47.654510006000002, -122.355484812)" 0.0423801326255 2
"(47.556205746000003, -122.2826036)" 0.0668436088399 49
"(47.580804106999999, -122.313410468)" 0.0281782312061 4
"(47.521042944000001, -122.370648211)" 0.0176972919123 10
"(47.675203981999999, -122.331558034)" 0.0279029540802 2
"(47.604627653999998, -122.30373119399999)" 0.0172518268856 7
"(47.607126946999998, -122.31546405900001)" 0.00838972826474 1
"(47.688504346000002, -122.301645103)" 0.0362829301224 1
"(47.615862548000003, -122.30949685)" 0.0077920612969 31
"(47.532160222000002, -122.281374605)" 0.0807720645749 3
"(47.659707416000003, -122.332571977)" 0.0432579970177 2
"(47.537415670000001, -122.377478995)" 0.015476107329 1
"(47.671578523999997, -122.339543148)" 0.0316564664384 1
"(47.513316218, -122.26314865000001)" 0.101562833387 3
"(47.686888936000003, -122.374775054)" 0.0429230601951 2
"(47.600478301999999, -122.334183174)" 0.00623385203205 28
"(47.690389899000003, -122.321654315)" 0.0182558995026 4
"(47.673057659999998, -122.283530789)" 0.0594516653807 4
"(47.627753099000003, -122.3060414)" 0.0167530119293 3
"(47.716525959000002, -122.334123284)" 0.0136510152741 1
"(47.509088755999997, -122.374640986)" 0.0301730552898 3
"(47.523760134, -122.372623765)" 0.016569008497 3
"(47.579577522000001, -122.30874472799999)" 0.0319620604 2
"(47.723210281999997, -122.34093161200001)" 0.0211727947385 4
"(47.694036668000003, -122.321681348)" 0.015956684494 1
"(47.691319452000002, -122.324352589)" 0.0156975861802 1
"(47.593762228999999, -122.300111062)" 0.0275529788549 7
"(47.569895312, -122.33200220800001)" 0.0343923303051 1
"(47.703155643000002, -122.32521849600001)" 0.00973486124429 14
"(47.650430972999999, -122.349837386)" 0.0363464958493 1
"(47.594993954000003, -122.325071885)" 0.0100455216115 3
"(47.534607074, -122.359551756)" 0.00311847112621 4
"(47.711197959000003, -122.344795215)" 0.0128757284051 16
"(47.583349378000001, -122.31702335999999)" 0.0240997164082 1
"(47.68476424, -122.343142618)" 0.0199003713652 2
"(47.675969397000003, -122.37031444900001)" 0.0444511150706 4
"(47.643901812999999, -122.39562033199999)" 0.0651115272157 2
"(47.625847288999999, -122.346255602)" 0.0134281284128 8
"(47.585492958000003, -122.302279056)" 0.0327325075147 5
"(47.614109939000002, -122.312777438)" 0.00465267245221 1
"(47.536596068999998, -122.284701955)" 0.077328104676 5
"(47.657741368000003, -122.349250312)" 0.0430527276986 2
"(47.539039512999999, -122.388550493)" 0.0266418031529 2
"(47.673276069000003, -122.360783031)" 0.0393055057026 3
"(47.648472546000001, -122.376434012)" 0.0510814056296 3
"(47.518219614000003, -122.34542823300001)" 0.0246939502678 4
"(47.725977940999996, -122.312653259)" 0.0320895001522 2
"(47.523771375999999, -122.36318326200001)" 0.0127807621907 1
"(47.581118359000001, -122.300261478)" 0.0369662376579 4
"(47.580305656999997, -122.29299880400001)" 0.0426039337502 2
"(47.647423916999998, -122.37818123700001)" 0.0518286293509 4
"(47.688889631000002, -122.29067063700001)" 0.0464430019185 2
"(47.728694765999997, -122.29780809499999)" 0.0452204716918 1
"(47.668664896000003, -122.37621563099999)" 0.0536180440497 6
"(47.506399915000003, -122.252986161)" 0.113121942791 1
"(47.732832324999997, -122.29107294799999)" 0.0531144026806 2
"(47.482368411000003, -122.23388724)" 0.139107138092 1
"(47.520471659000002, -122.337347999)" 0.0294297279732 4
"(47.729169583000001, -122.29370088)" 0.0489037922023 87
"(47.531029920999998, -122.350592066)" 0.0126786473433 4
"(47.584738391000002, -122.397919102)" 0.0601246206527 2
"(47.625572611000003, -122.302412442)" 0.0180516775409 1
"(47.577733588999997, -122.40739612900001)" 0.0613049306522 1
"(47.706694526, -122.35011100600001)" 0.0156286445508 3
"(47.675391836000003, -122.314346036)" 0.0343689164677 3
"(47.575827097000001, -122.296739941)" 0.0430625170657 10
"(47.577310779999998, -122.31336324199999)" 0.0311601550433 1
"(47.515529506999997, -122.359848371)" 0.0210836686029 1
"(47.601656792999997, -122.29786508799999)" 0.0237325480143 1
"(47.692425096000001, -122.378422173)" 0.0447163665692 2
"(47.539467144, -122.290904337)" 0.0711875261595 18
"(47.618862792999998, -122.326726874)" 0.0100271687057 23
"(47.517362656000003, -122.36083218100001)" 0.019174793499 4
"(47.684155291000003, -122.329355494)" 0.0195617640533 3
"(47.732312182999998, -122.351753855)" 0.0338739730721 1
"(47.731157940999999, -122.30731930499999)" 0.0395217223276 4
"(47.542648071000002, -122.292353152)" 0.0699475655347 1
"(47.612961103000004, -122.320765585)" 0.00421704986322 11
"(47.577323337000003, -122.31736489399999)" 0.0293235031977 20
"(47.629481617000003, -122.34098785)" 0.0136221139871 8
"(47.555483420999998, -122.2866119)" 0.0646585167502 1
"(47.627876157999999, -122.282740473)" 0.0367416022863 3
"(47.520114235999998, -122.356479909)" 0.0173001957206 19
"(47.707463996999998, -122.317264256)" 0.0182651473974 2
"(47.588122839999997, -122.391013384)" 0.0592026533 1
"(47.656782739999997, -122.412815313)" 0.0862384640552 2
"(47.710396678999999, -122.320603178)" 0.0161873869889 39
"(47.612898635999997, -122.31610721600001)" 0.00268608828059 46
"(47.584499778999998, -122.30097886999999)" 0.0343670435485 2
"(47.596647703000002, -122.31028093099999)" 0.0199374461941 7
"(47.664290571999999, -122.341224665)" 0.0391159730973 3
"(47.500373043000003, -122.288109375)" 0.0822764597104 1
"(47.592914835999999, -122.38566718600001)" 0.0545833947224 2
"(47.707168461000002, -122.31606938100001)" 0.0193571054947 1
"(47.546943546000001, -122.371323456)" 0.0139798418259 2
"(47.669159190000002, -122.278612442)" 0.0656685822967 2
"(47.605087908999998, -122.32585992600001)" 0.00342535331575 2
"(47.509158481, -122.38433344000001)" 0.0352845872452 3
"(47.681438161000003, -122.369914846)" 0.0410262231879 1
"(47.585496638999999, -122.303268319)" 0.0319229315077 22
"(47.711950102000003, -122.289979565)" 0.0458720434502 5
"(47.772799147999997, -122.285696235)" 0.0855092056904 1
"(47.691764974000002, -122.323015861)" 0.0163221468469 1
"(47.697566645999999, -122.30546734000001)" 0.0299611733009 3
"(47.727345044000003, -122.286887358)" 0.0539219596471 2
"(47.626034564999998, -122.30603913)" 0.0155220599179 5
"(47.659445382999998, -122.389129904)" 0.0678521939523 4
"(47.618361546999999, -122.287019238)" 0.0304032828776 1
"(47.672041243000002, -122.391505258)" 0.064426392814 1
"(47.525589466, -122.31492419999999)" 0.0483528297601 2
"(47.627424837, -122.339708605)" 0.0112711866564 8
"(47.517357124999997, -122.35460011799999)" 0.0205341863681 18
"(47.654055456000002, -122.400902892)" 0.074492589322 1
"(47.676043806999999, -122.353361822)" 0.0325614847913 1
"(47.662137602000001, -122.352108379)" 0.0442264972682 2
"(47.539436971999997, -122.322051939)" 0.0400857975578 1
"(47.695264217999998, -122.289245995)" 0.0463374712279 1
"(47.657588410999999, -122.31438276900001)" 0.042366905378 20
"(47.707869057000003, -122.316180784)" 0.0194158439612 3
"(47.503889424, -122.368348442)" 0.033217049483 2
"(47.679627752999998, -122.351251733)" 0.0284137990989 3
"(47.546388620999998, -122.37061198799999)" 0.0130933320172 4
"(47.694749166000001, -122.29197297100001)" 0.0437431265065 1
"(47.583338314999999, -122.313390555)" 0.0261272749354 12
"(47.571271836999998, -122.36149414800001)" 0.0347759656332 1
"(47.706852163999997, -122.33508350699999)" 0.00395441833927 6
"(47.615242944999999, -122.31946827500001)" 0.00219962507003 5
"(47.524688097000002, -122.352278486)" 0.0153170845063 3
"(47.559316713999998, -122.384848877)" 0.0322692358958 4
"(47.604330439999998, -122.306344944)" 0.0154960407071 1
"(47.686767510999999, -122.393707467)" 0.0609319056783 1
"(47.550585728000001, -122.265272999)" 0.0830314042057 1
"(47.662139611999997, -122.353356648)" 0.04472375119 1
"(47.539164847000002, -122.264584923)" 0.0916275640084 1
"(47.688725976000001, -122.39646523899999)" 0.0631270749012 2
"(47.517392887, -122.368661976)" 0.0202253522308 2
"(47.725721348999997, -122.332784944)" 0.0229238181301 1
"(47.631387654999997, -122.319153222)" 0.0161776408138 4
"(47.607630731, -122.284141995)" 0.0340086690865 1
"(47.613698026000002, -122.328358841)" 0.00864964750264 63
"(47.578739155999997, -122.308662173)" 0.0326632628235 2
"(47.596242513, -122.29512001800001)" 0.029233067113 2
"(47.559034879000002, -122.402317454)" 0.0461616693951 1
"(47.584570372999998, -122.321397218)" 0.0210809431221 3
"(47.575998226000003, -122.315344243)" 0.0313771252952 1
"(47.642800577000003, -122.30204942500001)" 0.031414137193 1
"(47.732076018000001, -122.30800222000001)" 0.0397167832694 2
"(47.551174799999998, -122.277665215)" 0.0738931939033 6
"(47.659434380999997, -122.27055959800001)" 0.0642490487557 1
"(47.661009559, -122.43225247300001)" 0.105541314346 1
"(47.524740454000003, -122.314373008)" 0.0490864116494 3
"(47.552121040000003, -122.387778986)" 0.0301168917837 2
"(47.690617842999998, -122.374784741)" 0.0416852248538 5
"(47.623140528, -122.32403360799999)" 0.0103395866154 1
"(47.719399910999996, -122.3111091)" 0.0289937161436 1
"(47.642069237000001, -122.41098459200001)" 0.0787122487882 2
"(47.662063029000002, -122.285797729)" 0.0563508172256 4
"(47.715547149000002, -122.285769128)" 0.0507809860923 1
"(47.547873930999998, -122.283375781)" 0.0725633660623 19
"(47.668281272999998, -122.36328249899999)" 0.0447346259477 1
"(47.598508490999997, -122.28692203999999)" 0.0346933064296 1
"(47.702882475000003, -122.34601297499999)" 0.0110629888808 5
"(47.682160781, -122.341635544)" 0.0217901744671 1
"(47.680119402999999, -122.282879386)" 0.0568357672774 2
"(47.648659993000003, -122.360887969)" 0.0402657942103 1
"(47.681434156999998, -122.37202583600001)" 0.0428415689582 1
"(47.535527926, -122.3445463)" 0.0175107022575 1
"(47.709296297999998, -122.32862620100001)" 0.0089946129376 7
"(47.538550784000002, -122.36101491700001)" 0.00228825446827 19
"(47.619616669999999, -122.32657279199999)" 0.0102471123778 3
"(47.520556161000002, -122.269990445)" 0.0934103082462 93
"(47.615228612000003, -122.32277268999999)" 0.00550344882802 48
"(47.722486283000002, -122.30188052299999)" 0.0384345260256 3
"(47.616854971999999, -122.348430881)" 0.0119331945965 16
"(47.692023931999998, -122.348574168)" 0.0174329231293 1
"(47.587530508, -122.291491271)" 0.0379051280762 2
"(47.723208892000002, -122.336883421)" 0.0204007159441 9
"(47.718869585, -122.329505638)" 0.0168721285752 1
"(47.686877899000002, -122.376793019)" 0.0448056465135 2
"(47.679413939, -122.296082033)" 0.045412706592 1
"(47.510872569, -122.37377296699999)" 0.0281897586656 1
"(47.677599088000001, -122.291002155)" 0.0507104449613 1
"(47.635001901999999, -122.32239794900001)" 0.0203389559045 1
"(47.524862341999999, -122.392181271)" 0.0323192547352 1
"(47.634742871, -122.357640244)" 0.027845078015 6
"(47.588373941, -122.30259422100001)" 0.0306833600652 3
"(47.527868988000002, -122.27949817)" 0.0829819096629 1
"(47.617950194999999, -122.33838705300001)" 0.00230876325396 3
"(47.645653377999999, -122.382544665)" 0.0544338884616 8
"(47.616798846999998, -122.349327383)" 0.012828629735 15
"(47.544529691999998, -122.298345137)" 0.0641890779568 1
"(47.617250959000003, -122.35207624)" 0.0155890141381 21
"(47.574569343999997, -122.296773773)" 0.0438755801663 31
"(47.539864637000001, -122.297808624)" 0.0643094543397 1
"(47.465037373000001, -122.25578326199999)" 0.128044040835 1
"(47.54529737, -122.263904637)" 0.0878877065543 5
"(47.668674211999999, -122.38104184300001)" 0.0574096033374 32
"(47.657318570999998, -122.330219446)" 0.0411803234566 1
"(47.516823002000002, -122.2652652)" 0.098745180993 2
"(47.684254598999999, -122.33160811499999)" 0.0189425228997 3
"(47.642610570999999, -122.325887591)" 0.028073706661 7
"(47.690572885999998, -122.388785678)" 0.0552289594804 1
"(47.638678157000001, -122.36228362600001)" 0.0339316616149 3
"(47.576653540999999, -122.397974101)" 0.0538914209456 4
"(47.731401249000001, -122.34236225799999)" 0.029449325344 3
"(47.687765785000003, -122.384332132)" 0.0516491957782 1
"(47.600317895000003, -122.301119267)" 0.0220433511714 1
"(47.567652369999998, -122.401781414)" 0.0505039114487 1
"(47.664788336999997, -122.403569334)" 0.0784927503355 2
"(47.645663423999999, -122.373481813)" 0.0470231322905 2
"(47.755412278000001, -122.32406561499999)" 0.0536284362776 1
"(47.602461308999999, -122.28995399999999)" 0.0301912204164 2
"(47.687096492000002, -122.312163764)" 0.0277301896163 1
"(47.70398891, -122.35275131900001)" 0.0178345923174 1
"(47.660838747, -122.355443279)" 0.0467880699335 6
"(47.551125269000003, -122.26681355700001)" 0.0816505733499 2
"(47.566463810999998, -122.37291743)" 0.0318804971989 3
"(47.661327469, -122.304915945)" 0.047637274048 1
"(47.729624719999997, -122.35959415799999)" 0.0363530629054 1
"(47.606174494999998, -122.310252947)" 0.0115273281601 1
"(47.627995661, -122.348194116)" 0.0163143498862 5
"(47.609314036000001, -122.34211515600001)" 0.00921450415777 1
"(47.588415107000003, -122.306773119)" 0.0273749720429 8
"(47.552613463, -122.2677474)" 0.0799036775955 2
"(47.598766845999997, -122.322446516)" 0.00861771086577 8
"(47.674594425999999, -122.352864727)" 0.0334984023941 1
"(47.523781235999998, -122.27651506799999)" 0.0864555987352 9
"(47.746049341000003, -122.31375542000001)" 0.0480736502682 1
"(47.521965551000001, -122.376730716)" 0.0206727177373 46
"(47.666134397, -122.33640087400001)" 0.0367942196454 2
"(47.690203502000003, -122.34721155699999)" 0.0176506895482 9
"(47.632919788000002, -122.371738033)" 0.0388252760268 4
"(47.634742803999998, -122.356284839)" 0.0268305027735 13
"(47.730113000000003, -122.292312064)" 0.0505820220567 1
"(47.604446584999998, -122.32065869100001)" 0.00850580707374 1
"(47.625299040999998, -122.29018896700001)" 0.0288611089119 1
"(47.559804749000001, -122.313424785)" 0.0470730547914 6
"(47.605248701999997, -122.308948118)" 0.0130646378988 4
"(47.676701549999997, -122.308733117)" 0.0370632396943 3
"(47.657196122000002, -122.34594889)" 0.0416617714313 5
"(47.681693942000003, -122.29748700499999)" 0.0430484946342 2
"(47.674568233999999, -122.31565782600001)" 0.0342764779743 4
"(47.581893168999997, -122.32952188900001)" 0.0222797702648 28
"(47.628169505999999, -122.294202492)" 0.0264049186663 1
"(47.616031739, -122.34307622999999)" 0.00660248832009 5
"(47.599624528, -122.33418648599999)" 0.0067769371556 48
"(47.573792042000001, -122.376009161)" 0.0398260384522 2
"(47.666497004, -122.33744404799999)" 0.0364883322886 2
"(47.576587381000003, -122.419368534)" 0.0699621726128 3
"(47.728682231999997, -122.35304021)" 0.0314957010518 3
"(47.681331866000001, -122.379458801)" 0.0494592536407 1
"(47.634407242999998, -122.300164477)" 0.0256304850216 1
"(47.674315804999999, -122.277149091)" 0.0644825657447 1
"(47.641413569999997, -122.365593125)" 0.0382247437612 2
"(47.676440956, -122.346604958)" 0.0289122647915 6
"(47.614237326999998, -122.28387627399999)" 0.0334112723042 1
"(47.651750059000001, -122.34598294)" 0.0363874593286 14
"(47.648457315999998, -122.38198276)" 0.0555184306992 4
"(47.57088152, -122.293593427)" 0.0487145154515 6
"(47.682025344000003, -122.322337576)" 0.0243890242173 1
"(47.722347861999999, -122.359601091)" 0.0313989748855 1
"(47.673574338000002, -122.334397604)" 0.029330864172 1
"(47.725698393000002, -122.30727671)" 0.0358549536718 1
"(47.592390975999997, -122.32597010800001)" 0.0122033117376 2
"(47.697084515, -122.301542979)" 0.0339094222581 1
"(47.564897663000004, -122.40085964799999)" 0.0481058086687 1
"(47.648628815999999, -122.40628301)" 0.0767739069371 6
"(47.561131621000001, -122.314144279)" 0.0455826057186 1
"(47.528175296000001, -122.265349993)" 0.0970377475532 7
"(47.698268933000001, -122.347308148)" 0.0131973710847 3
"(47.672147834999997, -122.28532409100001)" 0.0583817308433 2
"(47.697549064, -122.302863902)" 0.0325292207245 6
"(47.701130331000002, -122.370075285)" 0.0351698361483 1
"(47.674896191000002, -122.298545421)" 0.0459293663213 2
"(47.634040249000002, -122.347152248)" 0.0204189975923 6
"(47.521992627000003, -122.27703424000001)" 0.0862249563023 1
"(47.606515754, -122.327169943)" 0.00307618086135 2
"(47.668512520999997, -122.290813728)" 0.055950953683 2
"(47.620314020000002, -122.345007231)" 0.00927463007606 27
"(47.627586565000001, -122.354074232)" 0.0207151919684 3
"(47.638966183000001, -122.321353135)" 0.0239961238932 6
"(47.483153076000001, -122.312998222)" 0.0724569496605 1
"(47.595872589999999, -122.309587724)" 0.020909785275 10
"(47.640723463, -122.281691452)" 0.0437169190381 1
"(47.578819342999999, -122.36421716300001)" 0.0423758241683 1
"(47.587079854000002, -122.378118144)" 0.0510361649784 1
"(47.516559035999997, -122.383451726)" 0.0292665746214 3
"(47.538649075000002, -122.320632424)" 0.0414533210012 2
"(47.546139543000002, -122.25922490400001)" 0.0903059732264 3
