Type,Date,Location
Medic Response,04/29/2010,47.65534 -122.312149
Aid Response,04/29/2010,47.542796 -122.359563
Motor Vehicle Accident Freeway,04/29/2010,47.603525 -122.326315
Auto Fire Alarm,04/29/2010,47.703624 -122.333909
Aid Response,04/29/2010,47.664984 -122.325054
Aid Response,04/29/2010,47.607742 -122.326595
Aid Response,04/29/2010,47.618517 -122.334255
Medic Response,04/29/2010,47.582942 -122.301655
Aid Response,04/29/2010,47.60739 -122.332564
Investigate Out Of Service,04/29/2010,47.60243 -122.332632
Medic Response,04/29/2010,47.665248 -122.30947
Aid Response,04/29/2010,47.661533 -122.376104
Aid Response,04/29/2010,47.638896 -122.325893
Medic Response,04/29/2010,47.53777 -122.391578
Medic Response,04/29/2010,47.600879 -122.331572
Aid Response,04/29/2010,47.656834 -122.313246
"Medic Response, 7 per Rule",04/29/2010,47.606176 -122.310249
Medic Response,04/29/2010,47.575772 -122.301302
Medic Response,04/29/2010,47.652449 -122.409991
Aid Response,04/29/2010,47.639774 -122.325891
Motor Vehicle Accident Freeway,04/29/2010,47.573037 -122.339393
Medic Response,04/29/2010,47.531366 -122.280683
Medic Response,04/29/2010,47.619915 -122.330418
Aid Response,04/29/2010,47.537035 -122.28468
Medic Response,04/29/2010,47.539419 -122.390816
Auto Fire Alarm,04/29/2010,47.617818 -122.336177
Aid Response Yellow,04/29/2010,47.544236 -122.277378
Medic Response,04/29/2010,47.588226 -122.32597
Aid Response,04/29/2010,47.603515 -122.302434
Aid Response,04/29/2010,47.609088 -122.330457
Medic Response,04/29/2010,47.600036 -122.328965
Motor Vehicle Accident Freeway,04/29/2010,47.571395 -122.358684
Aid Response,04/29/2010,47.710863 -122.281103
Aid Response,04/29/2010,47.548587 -122.36865
Aid Response,04/29/2010,47.60977 -122.341028
Aid Response,04/29/2010,47.726864 -122.348004
Aid Response,04/29/2010,47.573062 -122.308599
Medic Response,04/29/2010,47.619736 -122.331697
1RED 1 Unit,04/29/2010,47.604377 -122.325207
Rescue Heavy,04/29/2010,47.542468 -122.263338
Trans to AMR,04/29/2010,47.537035 -122.28468
Aid Response,04/29/2010,47.668671 -122.377632
Aid Response,04/29/2010,47.60975 -122.337793
Aid Response,04/29/2010,47.610964 -122.340452
Medic Response,04/29/2010,47.595741 -122.325068
Medic Response,04/29/2010,47.615789 -122.336507
Auto Fire Alarm,04/29/2010,47.732881 -122.296531
Automatic Fire Alarm Resd,04/29/2010,47.705356 -122.351428
Aid Response,04/29/2010,47.560119 -122.385486
Aid Response,04/29/2010,47.515527 -122.353996
Aid Response,04/29/2010,47.579503 -122.321398
Aid Response,04/29/2010,47.69313 -122.322558
Automatic Fire Alarm Resd,04/29/2010,47.712132 -122.364712
Aid Response,04/29/2010,47.601794 -122.33488
Multiple Medic Resp 14 Per,04/29/2010,47.544653 -122.372534
Aid Response,04/29/2010,47.620351 -122.315627
Aid Response,04/29/2010,47.578784 -122.395378
Aid Response,04/29/2010,47.72216 -122.297726
Aid Response,04/29/2010,47.675758 -122.270384
Medic Response,04/29/2010,47.718036 -122.352911
Medic Response,04/29/2010,47.649775 -122.350985
Aid Response,04/29/2010,47.658315 -122.313207
Aid Response,04/29/2010,47.665669 -122.300628
Auto Fire Alarm,04/29/2010,47.648334 -122.341441
Aid Response,04/29/2010,47.603106 -122.333252
Aid Response,04/29/2010,47.515758 -122.266527
Aid Response,04/29/2010,47.614317 -122.316839
Motor Vehicle Accident,04/29/2010,47.58405 -122.340002
Medic Response,04/29/2010,47.599151 -122.293803
Medic Response,04/29/2010,47.608043 -122.312847
Aid Response,04/29/2010,47.719284 -122.296115
Aid Response,04/29/2010,47.620207 -122.3025
Aid Response,04/29/2010,47.668667 -122.376214
Aid Response,04/29/2010,47.537035 -122.28468
Medic Response,04/29/2010,47.57292 -122.322441
Aid Response,04/29/2010,47.609338 -122.325139
Medic Response,04/29/2010,47.602172 -122.330863
Aid Response,04/29/2010,47.551961 -122.389825
Aid Response,04/29/2010,47.672283 -122.323446
Aid Response,04/29/2010,47.550986 -122.300599
Automatic Medical Alarm,04/29/2010,47.732881 -122.296531
Auto Fire Alarm,04/29/2010,47.591904 -122.325968
"Medic Response, 7 per Rule",04/29/2010,47.666712 -122.310774
Medic Response,04/29/2010,47.545436 -122.387209
Alarm Bell,04/29/2010,47.549761 -122.363014
Aid Response,04/29/2010,47.579891 -122.295179
Medic Response,04/29/2010,47.580276 -122.36423
Motor Vehicle Accident,04/29/2010,47.697459 -122.290531
Aid Response,04/29/2010,47.599968 -122.328965
Aid Response,04/29/2010,47.608009 -122.30277
Aid Response,04/29/2010,47.580772 -122.386563
Aid Response,04/29/2010,47.600854 -122.326354
Aid Response,04/29/2010,47.591933 -122.382663
Rescue Elevator,04/29/2010,47.573528 -122.321622
Aid Response,04/29/2010,47.697865 -122.366035
Aid Response,04/29/2010,47.668676 -122.38213
Aid Response,04/29/2010,47.66449 -122.399013
Medic Response,04/29/2010,47.606687 -122.31155
Aid Response,04/29/2010,47.732314 -122.350154
Aid Response,04/29/2010,47.609402 -122.332864
Aid Response,04/29/2010,47.717802 -122.296106
Medic Response,04/29/2010,47.604413 -122.329842
Aid Response,04/29/2010,47.603518 -122.336697
Medic Response,04/29/2010,47.556785 -122.286143
Auto Fire Alarm,04/29/2010,47.511111 -122.243056
Aid Response,04/29/2010,47.66171 -122.31085
Auto Fire Alarm,04/29/2010,47.616942 -122.330731
Aid Response,04/29/2010,47.530349 -122.269989
Alarm Bell,04/29/2010,47.659981 -122.313163
Medic Response,04/29/2010,47.606687 -122.31155
Aid Response,04/29/2010,47.55854 -122.316096
Aid Response,04/29/2010,47.694925 -122.349596
Motor Vehicle Accident,04/29/2010,47.684038 -122.344488
Medic Response,04/29/2010,47.544239 -122.276859
Aid Response,04/29/2010,47.617717 -122.330057
Aid Response,04/29/2010,47.65996 -122.342217
Aid Response,04/29/2010,47.617943 -122.334397
Aid Response Yellow,04/29/2010,47.553477 -122.385537
Aid Response,04/29/2010,47.599191 -122.325055
Aid Response,04/29/2010,47.610972 -122.340465
Aid Response,04/29/2010,47.690571 -122.395135
Aid Response,04/29/2010,47.519854 -122.268475
Medic Response,04/29/2010,47.558064 -122.294168
Aid Response,04/29/2010,47.611762 -122.339818
1RED 1 Unit,04/29/2010,47.604377 -122.325207
Motor Vehicle Accident Freeway,04/29/2010,47.589701 -122.320678
Aid Response,04/29/2010,47.615781 -122.334715
1RED 1 Unit,04/29/2010,47.6029 -122.331529
"Hang-Up, Aid",04/29/2010,47.635051 -122.371679
Aid Response,04/29/2010,47.524357 -122.375302
Aid Response,04/29/2010,47.713634 -122.344835
Automatic Fire Alarm Resd,04/29/2010,47.502591 -122.267262
Aid Response,04/29/2010,47.561926 -122.376204
Medic Response,04/29/2010,47.674871 -122.311923
Medic Response,04/29/2010,47.693931 -122.30552
Automatic Medical Alarm,04/29/2010,47.518178 -122.367277
Aid Response,04/29/2010,47.714156 -122.334086
Aid Response,04/29/2010,47.69681 -122.327101
Medic Response,04/29/2010,47.591904 -122.325968
Medic Response,04/29/2010,47.575574 -122.325979
Aid Response,04/29/2010,47.676595 -122.396169
Aid Response,04/29/2010,47.50332 -122.255105
Medic Response,04/29/2010,47.586213 -122.35543
Aid Response,04/29/2010,47.667143 -122.35442
Aid Response,04/29/2010,47.62045 -122.296092
Automatic Fire Alarm Resd,04/29/2010,47.573421 -122.287745
Medic Response,04/29/2010,47.535187 -122.368473
Aid Response,04/29/2010,47.66754 -122.398314
Medic Response,04/29/2010,47.551167 -122.275872
"Assault w/Weapons, Aid",04/29/2010,47.5837 -122.321395
Medic Response,04/29/2010,47.620911 -122.331705
Aid Response,04/29/2010,47.670912 -122.385045
Aid Response,04/29/2010,47.626237 -122.292116
Medic Response,04/29/2010,47.600032 -122.331573
MUK9 - FIU CAPTAIN K9,04/29/2010,,
Automatic Fire Alarm Resd,04/29/2010,47.507589 -122.261267
1RED 1 Unit,04/29/2010,47.63233 -122.364795
Aid Response,04/29/2010,47.542872 -122.359562
1RED 1 Unit,04/29/2010,47.604413 -122.329842
Aid Response,04/29/2010,47.61762 -122.310139
Aid Response,04/29/2010,47.661292 -122.316579
Aid Response,04/29/2010,47.602985 -122.328535
Aid Response,04/29/2010,47.709488 -122.323301
Rubbish Fire,04/29/2010,47.596467 -122.334192
MUK9 - FIU CAPTAIN K9,04/29/2010,,
Medic Response,04/29/2010,47.595741 -122.325068
1RED 1 Unit,04/29/2010,47.604377 -122.325207
Auto Fire Alarm,04/29/2010,47.615025 -122.353269
Medic Response,04/29/2010,47.602114 -122.330809
Illegal Burn,04/29/2010,47.67092 -122.390624
Aid Response,04/29/2010,47.712167 -122.312433
Aid Response,04/29/2010,47.684019 -122.354875
MUK9 - FIU CAPTAIN K9,04/29/2010,,
Aid Response,04/29/2010,47.618492 -122.330723
Aid Response,04/29/2010,47.635472 -122.278472
Aid Response,04/29/2010,47.681614 -122.316403
Aid Response,04/29/2010,47.675985 -122.382128
Medic Response,04/29/2010,47.600194 -122.330541
Aid Response,04/29/2010,47.685213 -122.370395
Medic Response,04/29/2010,47.603733 -122.333825
Medic Response,04/29/2010,47.549741 -122.291555
Auto Fire Alarm,04/30/2010,47.548628 -122.276937
Aid Response,04/30/2010,47.519227 -122.369998
Medic Response,04/30/2010,47.582823 -122.300344
Aid Response,04/30/2010,47.613838 -122.341324
Automatic Medical Alarm,04/30/2010,47.681678 -122.393568
Trans to AMR,04/30/2010,47.607613 -122.302771
Medic Response,04/30/2010,47.571009 -122.38358
Natural Gas Odor,04/30/2010,47.60771 -122.326721
Aid Response,04/30/2010,47.721329 -122.296339
Aid Response,04/30/2010,47.649704 -122.368511
Aid Response,04/30/2010,47.525684 -122.276819
Aid Response,04/30/2010,47.528439 -122.285956
Aid Response,04/30/2010,47.572983 -122.301714
Aid Response Yellow,04/30/2010,47.673968 -122.283445
Aid Response,04/30/2010,47.616446 -122.311456
Medic Response,04/30/2010,47.595541 -122.298643
Car Fire,04/30/2010,47.734053 -122.323484
Aid Response,04/30/2010,47.618002 -122.329183
Automatic Fire Alarm Resd,04/30/2010,47.503848 -122.376093
Aid Response,04/30/2010,47.665388 -122.318433
Aid Response,04/30/2010,47.691236 -122.306849
Aid Response,04/30/2010,47.712551 -122.331393
Aid Response,04/30/2010,47.550389 -122.269504
Aid Response,04/30/2010,47.602172 -122.330863
Aid Response,04/30/2010,47.676082 -122.363528
Aid Response,04/30/2010,47.63967 -122.279598
Medic Response,04/30/2010,47.712551 -122.322022
Medic Response,04/30/2010,47.636271 -122.376139
Aid Response,04/30/2010,47.543915 -122.373773
Aid Response,04/30/2010,47.603733 -122.333825
Fire in Single Family Res,04/30/2010,47.710657 -122.356832
"Hang-Up, Aid",04/30/2010,47.600854 -122.326354
Aid Response,04/30/2010,47.523307 -122.269986
Medic Response,04/30/2010,47.726864 -122.348012
Aid Response,04/30/2010,47.71201 -122.277735
Aid Response,04/30/2010,47.724992 -122.344997
Motor Vehicle Accident,04/30/2010,47.581195 -122.386546
Aid Response,04/30/2010,47.518178 -122.367277
Medic Response,04/30/2010,47.528265 -122.371246
Aid Response,04/30/2010,47.581144 -122.381163
Aid Response,04/30/2010,47.626721 -122.35812
"Medic Response, 7 per Rule",04/30/2010,47.703059 -122.293348
Medic Response,04/30/2010,47.682772 -122.344484
Aid Response,04/30/2010,47.717456 -122.298945
Aid Response,04/30/2010,47.604879 -122.324007
Medic Response,04/30/2010,47.616989 -122.330811
Aid Response,04/30/2010,47.72343 -122.348165
Aid Response,04/30/2010,47.533286 -122.359198
Motor Vehicle Accident,04/30/2010,47.605305 -122.322989
Trans to AMR,04/30/2010,47.569956 -122.36009
Aid Response,04/30/2010,47.533685 -122.354063
Aid Response,04/30/2010,47.732096 -122.367049
Aid Response,04/30/2010,47.651083 -122.303907
Aid Response,04/30/2010,47.612498 -122.350556
Rescue Elevator,04/30/2010,47.642066 -122.346371
Aid Response,04/30/2010,47.571018 -122.381421
Aid Response,04/30/2010,47.502585 -122.266788
Auto Fire Alarm,04/30/2010,47.672374 -122.387587
Medic Response,04/30/2010,47.608621 -122.320756
Aid Response,04/30/2010,47.58633 -122.304239
Medic Response,04/30/2010,47.676136 -122.290283
Medic Response,04/30/2010,47.507644 -122.255914
Motor Vehicle Accident,04/30/2010,47.664293 -122.335155
Aid Response,04/30/2010,47.712306 -122.339738
Aid Response,04/30/2010,47.608584 -122.340581
Aid Response,04/30/2010,47.630177 -122.34096
Medic Response,04/30/2010,47.614295 -122.334388
Aid Response,04/30/2010,47.60975 -122.337793
Aid Response,04/30/2010,47.610516 -122.324681
Aid Response,04/30/2010,47.70684 -122.332461
Aid Response,04/30/2010,47.609963 -122.337988
Automatic Medical Alarm,04/30/2010,47.599281 -122.302222
Aid Response,04/30/2010,47.530872 -122.288155
Motor Vehicle Accident,04/30/2010,47.571629 -122.313408
Automatic Fire Alarm Resd,04/30/2010,47.728822 -122.328872
Aid Response,04/30/2010,47.617762 -122.333957
Aid Response,04/30/2010,47.61055 -122.329318
Aid Response,04/30/2010,47.521595 -122.264225
Aid Response,04/30/2010,47.612815 -122.349533
Aid Response,04/30/2010,47.538902 -122.293225
Medic Response,04/30/2010,47.595823 -122.326374
Aid Response,04/30/2010,47.602985 -122.328535
1RED 1 Unit,04/30/2010,47.623129 -122.320924
Motor Vehicle Accident,04/30/2010,47.705084 -122.355453
Trans to AMR,04/30/2010,47.66742 -122.304421
Aid Response,04/30/2010,47.518178 -122.367277
Medic Response,04/30/2010,47.556785 -122.286143
Aid Response,04/30/2010,47.615238 -122.327904
Aid Response,04/30/2010,47.643546 -122.388937
Medic Response,04/30/2010,47.655243 -122.379959
Auto Fire Alarm,04/30/2010,47.602804 -122.336044
Medic Response,04/30/2010,47.602813 -122.331449
Auto Fire Alarm,04/30/2010,47.614956 -122.345218
Fire in Single Family Res,04/30/2010,47.553456 -122.31705
Aid Response,04/30/2010,47.588422 -122.315981
Aid Response,04/30/2010,47.667492 -122.39879
Medic Response,04/30/2010,47.699872 -122.324247
1RED 1 Unit,04/30/2010,47.601772 -122.314165
Unk Odor,04/30/2010,47.676073 -122.36063
Medic Response,04/30/2010,47.705036 -122.33393
Aid Response,04/30/2010,47.650936 -122.299013
Aid Response,04/30/2010,47.618522 -122.335321
Aid Response,04/30/2010,47.607828 -122.339105
Aid Response,04/30/2010,47.611116 -122.342551
Medic Response,04/30/2010,47.600194 -122.330541
4RED - 2 + 1 + 1,04/30/2010,47.696918 -122.347293
Automatic Fire Alarm Resd,04/30/2010,47.5759 -122.419036
Aid Response,04/30/2010,47.604991 -122.333174
Aid Response,04/30/2010,47.618576 -122.348925
Aid Response,04/30/2010,47.616422 -122.318178
Medic Response,04/30/2010,47.572935 -122.303383
Medic Response,04/30/2010,47.548231 -122.376372
Aid Response,04/30/2010,47.537564 -122.334124
Aid Response,04/30/2010,47.58657 -122.318587
Motor Vehicle Accident Freeway,04/30/2010,47.704645 -122.329446
Unk Odor,04/30/2010,47.613587 -122.346871
Medic Response,04/30/2010,47.553722 -122.362963
Medic Response,04/30/2010,47.60739 -122.332564
Motor Vehicle Accident,04/30/2010,47.60509 -122.32586
Aid Response,04/30/2010,47.656013 -122.3157
Aid Response,04/30/2010,47.668653 -122.393292
Aid Response,04/30/2010,47.614132 -122.343826
Aid Response,04/30/2010,47.701698 -122.362125
Aid Response,04/30/2010,47.633622 -122.356983
Aid Response,04/30/2010,47.539419 -122.390816
Medic Response,04/30/2010,47.664997 -122.285851
Aid Response,04/30/2010,47.511798 -122.39291
Aid Response,04/30/2010,47.664924 -122.313074
Medic Response,04/30/2010,47.547503 -122.321439
Aid Response,04/30/2010,47.595741 -122.325068
Aid Response,04/30/2010,47.609414 -122.312838
Aid Response,04/30/2010,47.508276 -122.385789
Automatic Medical Alarm,04/30/2010,47.537295 -122.351073
Motor Vehicle Accident,04/30/2010,47.595872 -122.308957
Medic Response,04/30/2010,47.600825 -122.330272
Automatic Fire Alarm Resd,04/30/2010,47.534103 -122.377103
Aid Response,04/30/2010,47.615616 -122.334436
Aid Response,04/30/2010,47.562429 -122.389483
Trans to AMR,04/30/2010,47.710822 -122.355496
Aid Response,04/30/2010,47.658298 -122.317782
Aid Response,04/30/2010,47.698362 -122.288986
Motor Vehicle Accident,04/30/2010,47.662124 -122.344551
Illegal Burn,04/30/2010,47.529789 -122.319165
Aid Response,04/30/2010,47.662932 -122.376119
Wires Down,04/30/2010,47.615235 -122.320799
Aid Response,04/30/2010,47.617742 -122.325176
Aid Response,04/30/2010,47.607817 -122.331423
Aid Response,04/30/2010,47.656502 -122.308186
Trans to AMR,04/30/2010,47.608584 -122.340581
Medic Response,04/30/2010,47.558988 -122.376234
Aid Response,04/30/2010,47.721359 -122.296339
Motor Vehicle Accident,04/30/2010,47.666436 -122.313051
Aid Response,04/30/2010,47.668655 -122.392883
Aid Response,04/30/2010,47.55485 -122.269844
Automatic Fire Alarm Resd,04/30/2010,47.533381 -122.27828
Medic Response,04/30/2010,47.689446 -122.300625
Motor Vehicle Accident Freeway,04/30/2010,47.614027 -122.347754
Aid Response,04/30/2010,47.610743 -122.338702
Aid Response,04/30/2010,47.602813 -122.331449
Medic Response,04/30/2010,47.615269 -122.307342
Medic Response,04/30/2010,47.615369 -122.343934
Wires Down,04/30/2010,47.59921 -122.314137
Motor Vehicle Accident,04/30/2010,47.679409 -122.300664
Aid Response,04/30/2010,47.665932 -122.384105
Aid Response,04/30/2010,47.603698 -122.329187
Aid Response,04/30/2010,47.612071 -122.332244
Natural Gas Odor,04/30/2010,47.623683 -122.361941
Medic Response,04/30/2010,47.608966 -122.341682
Aid Response,04/30/2010,47.610748 -122.338691
"Hang-Up, Aid",04/30/2010,47.580772 -122.386563
Aid Response,04/30/2010,47.730248 -122.293789
Aid Response,04/30/2010,47.613041 -122.304947
Auto Fire Alarm,04/30/2010,47.623717 -122.360635
Aid Response,04/30/2010,47.556535 -122.271559
Medic Response,04/30/2010,47.612911 -122.31238
Medic Response,04/30/2010,47.549448 -122.38039
Medic Response,04/30/2010,47.602165 -122.330856
Aid Response,04/30/2010,47.538889 -122.393088
Unk Odor,04/30/2010,47.614113 -122.312773
Aid Response,04/30/2010,47.602382 -122.332338
Aid Response,04/30/2010,47.562427 -122.385456
Medic Response,04/30/2010,47.578921 -122.409348
Illegal Burn,04/30/2010,47.660015 -122.365754
Medic Response,04/30/2010,47.712305 -122.339596
Medic Response,04/30/2010,47.690176 -122.301476
Aid Response,04/30/2010,47.709986 -122.29776
Aid Response,04/30/2010,47.52287 -122.355104
Aid Response Yellow,04/30/2010,47.668675 -122.381731
Medic Response,04/30/2010,47.616138 -122.345235
Medic Response,04/30/2010,47.613281 -122.320767
Aid Response,04/30/2010,47.649945 -122.346011
Medic Response,04/30/2010,47.683556 -122.324465
Aid Response,04/30/2010,47.614115 -122.313533
Aid Response,04/30/2010,47.615231 -122.323415
Auto Fire Alarm,04/30/2010,47.717387 -122.29518
Aid Response,04/30/2010,47.604377 -122.319411
Aid Response,04/30/2010,47.688445 -122.312192
Aid Response,04/30/2010,47.608393 -122.338088
Aid Response,04/30/2010,47.612626 -122.341277
Aid Response,04/30/2010,47.560761 -122.386788
Aid Response,04/30/2010,47.695649 -122.349455
Aid Response,04/30/2010,47.619763 -122.353866
Motor Vehicle Accident,04/30/2010,47.628902 -122.367777
Medic Response,04/30/2010,47.525824 -122.284821
Aid Response,04/30/2010,47.511111 -122.243611
Medic Response,04/30/2010,47.623153 -122.296667
Aid Response,04/30/2010,47.607297 -122.327878
Medic Response,04/30/2010,47.606467 -122.320874
Automatic Fire Alarm False,04/30/2010,47.602804 -122.336044
Aid Response,04/30/2010,47.66869 -122.309606
Aid Response,04/30/2010,47.645568 -122.308779
Medic Response,04/30/2010,47.641927 -122.394182
Aid Response,04/30/2010,47.626322 -122.348863
Motor Vehicle Accident,04/30/2010,47.658016 -122.342315
Aid Response,04/30/2010,47.521033 -122.36873
Aid Response,04/30/2010,47.692107 -122.304836
Aid Response,04/30/2010,47.62301 -122.296879
Auto Fire Alarm,04/30/2010,47.65766 -122.321884
Motor Vehicle Accident,04/30/2010,47.646396 -122.304614
Aid Response Yellow,04/30/2010,47.577459 -122.297471
Aid Response,04/30/2010,47.618002 -122.329183
Aid Response,04/30/2010,47.544669 -122.373777
Auto Fire Alarm,04/30/2010,47.622392 -122.359338
Trans to AMR,04/30/2010,47.707748 -122.31784
Medic Response,04/30/2010,47.606628 -122.312857
Medic Response,04/30/2010,47.661422 -122.348597
Motor Vehicle Accident,04/30/2010,47.728678 -122.345037
Aid Response,04/30/2010,47.705066 -122.350805
Aid Response,04/30/2010,47.55213 -122.3911
Aid Response,04/30/2010,47.709397 -122.309982
Medic Response,04/30/2010,47.538886 -122.282098
Automatic Fire Alarm Resd,04/30/2010,47.6406 -122.317951
Boat Taking Water Minr/Sho,04/30/2010,47.646815 -122.304611
Aid Response,04/30/2010,47.723461 -122.34498
Medic Response,04/30/2010,47.601727 -122.322449
Aid Response,04/30/2010,47.611068 -122.342612
Aid Response,05/01/2010,47.523307 -122.269986
Medic Response,05/01/2010,47.710901 -122.320615
Aid Response,05/01/2010,47.651083 -122.303907
Medic Response,05/01/2010,47.672861 -122.327942
Trans to AMR,05/01/2010,47.59308 -122.289001
Medic Response,05/01/2010,47.603237 -122.337944
Aid Response,05/01/2010,47.596441 -122.298752
Motor Vehicle Accident,05/01/2010,47.680212 -122.398387
Aid Response,05/01/2010,47.686946 -122.290607
Medic Response,05/01/2010,47.615384 -122.347925
Medic Response,05/01/2010,47.52913 -122.269987
Auto Fire Alarm,05/01/2010,47.611786 -122.339857
Aid Response,05/01/2010,47.692436 -122.355321
Aid Response,05/01/2010,47.615268 -122.307445
Medic Response,05/01/2010,47.666697 -122.274023
Aid Response,05/01/2010,47.616626 -122.340108
Aid Response,05/01/2010,47.600044 -122.334219
Aid Response,05/01/2010,47.544669 -122.373777
Aid Response,05/01/2010,47.627888 -122.366637
Aid Response,05/01/2010,47.531366 -122.280683
Water Job Minor,05/01/2010,47.60739 -122.332564
Medic Response,05/01/2010,47.636908 -122.328364
Aid Response,05/01/2010,47.663288 -122.315261
EVENT - Special Event,05/01/2010,47.590144 -122.334195
Brush Fire,05/01/2010,47.606164 -122.307436
Investigate Out Of Service,05/01/2010,47.579815 -122.354657
Automatic Fire Alarm False,05/01/2010,47.66133 -122.307244
Alarm Bell,05/01/2010,47.579146 -122.329057
Aid Response,05/01/2010,47.718248 -122.356205
Aid Response,05/01/2010,47.619767 -122.355198
Medic Response,05/01/2010,47.524607 -122.361829
Medic Response,05/01/2010,47.626975 -122.321298
"Medic Response, 7 per Rule",05/01/2010,47.706054 -122.320508
Medic Response,05/01/2010,47.602172 -122.330863
Aid Response,05/01/2010,47.613895 -122.31422
Unk Odor,05/01/2010,47.624837 -122.363238
Aid Response,05/01/2010,47.521023 -122.366095
Aid Response,05/01/2010,47.515841 -122.26808
Medic Response,05/01/2010,47.604328 -122.303732
Medic Response,05/01/2010,47.535215 -122.279148
Aid Response Yellow,05/01/2010,47.582041 -122.403462
Aid Response,05/01/2010,47.617063 -122.332917
Aid Response,05/01/2010,47.51984 -122.265042
Aid Response,05/01/2010,47.540719 -122.337155
Aid Response,05/01/2010,47.615027 -122.335199
Aid Response,05/01/2010,47.637548 -122.35073
1RED 1 Unit,05/01/2010,47.650592 -122.416387
Aid Response,05/01/2010,47.592396 -122.334195
Aid Response,05/01/2010,47.620814 -122.332852
Automatic Fire Alarm False,05/01/2010,47.611259 -122.32076
Aid Response,05/01/2010,47.616989 -122.330811
Medic Response,05/01/2010,47.539049 -122.284755
Automatic Fire Alarm False,05/01/2010,47.540972 -122.360885
Aid Response,05/01/2010,47.67002 -122.340826
Medic Response,05/01/2010,47.723223 -122.351624
Aid Response,05/01/2010,47.651984 -122.35332
Trans to AMR,05/01/2010,47.603588 -122.322949
Aid Response,05/01/2010,47.609442 -122.32489
EVENT - Special Event,05/01/2010,47.595693 -122.333273
Aid Response,05/01/2010,47.534668 -122.282612
Auto Fire Alarm,05/01/2010,47.703266 -122.333904
Medic Response,05/01/2010,47.687664 -122.352438
Auto Fire Alarm,05/01/2010,47.706969 -122.296231
Aid Response,05/01/2010,47.612716 -122.345399
Aid Response,05/01/2010,47.58617 -122.329979
Medic Response,05/01/2010,47.679549 -122.374649
Aid Response,05/01/2010,47.675953 -122.37406
Medic Response,05/01/2010,47.540683 -122.286131
Medic Response,05/01/2010,47.537025 -122.275196
Aid Response,05/01/2010,47.521595 -122.264225
Medic Response,05/01/2010,47.551991 -122.389824
Aid Response,05/01/2010,47.614076 -122.32078
Medic Response,05/01/2010,47.550136 -122.374989
Rescue Elevator,05/01/2010,47.627266 -122.365008
Aid Response,05/01/2010,47.602172 -122.330863
Unk Odor,05/01/2010,47.677852 -122.271599
Medic Response,05/01/2010,47.688713 -122.28328
Aid Response,05/01/2010,47.569558 -122.334201
Medic Response,05/01/2010,47.579255 -122.380238
Aid Response,05/01/2010,47.612741 -122.334391
Automatic Medical Alarm,05/01/2010,47.556554 -122.274453
Water Job Minor,05/01/2010,47.699666 -122.355396
Medic Response,05/01/2010,47.731647 -122.315417
Aid Response,05/01/2010,47.653126 -122.345965
Aid Response,05/01/2010,47.564713 -122.370982
Aid Response,05/01/2010,47.715983 -122.309874
Aid Response,05/01/2010,47.622174 -122.320909
Aid Response,05/01/2010,47.602675 -122.307662
Aid Response,05/01/2010,47.53865 -122.32063
Aid Response,05/01/2010,47.614431 -122.320786
Aid Response,05/01/2010,47.722899 -122.293194
Aid Response,05/01/2010,47.61015 -122.333556
Medic Response,05/01/2010,47.511575 -122.384451
Medic Response,05/01/2010,47.596499 -122.322456
Auto Fire Alarm,05/01/2010,47.608629 -122.340472
Aid Response,05/01/2010,47.661371 -122.287209
Medic Response,05/01/2010,47.68163 -122.370438
"Medic Response, 7 per Rule",05/01/2010,47.615559 -122.293555
Aid Response,05/01/2010,47.566337 -122.386771
Aid Response,05/01/2010,47.660202 -122.323954
Medic Response,05/01/2010,47.602985 -122.328535
Trans to AMR,05/01/2010,47.604532 -122.319411
Aid Response,05/01/2010,47.602985 -122.328535
Aid Response,05/01/2010,47.626322 -122.348863
Aid Response,05/01/2010,47.72497 -122.344996
Medic Response,05/01/2010,47.603555 -122.30635
Rubbish Fire,05/01/2010,47.606176 -122.302777
Rescue Elevator,05/01/2010,47.625494 -122.30866
Aid Response,05/01/2010,47.703624 -122.333909
Aid Response,05/01/2010,47.54451 -122.387219
Illegal Burn,05/01/2010,47.660671 -122.392849
Auto Fire Alarm,05/01/2010,47.602011 -122.308962
Aid Response,05/01/2010,47.627745 -122.33213
Aid Response,05/01/2010,47.69491 -122.344574
Aid Response,05/01/2010,47.527317 -122.323966
Medic Response,05/01/2010,47.61554 -122.325533
Aid Response,05/01/2010,47.703494 -122.343311
Automatic Fire Alarm Resd,05/01/2010,47.5342 -122.276497
Aid Response,05/01/2010,47.624541 -122.334287
Aid Response,05/01/2010,47.612917 -122.314054
Auto Fire Alarm,05/01/2010,47.617316 -122.347229
Aid Response,05/01/2010,47.601593 -122.332874
Aid Response,05/01/2010,47.608756 -122.336885
Aid Response,05/01/2010,47.612408 -122.324876
Aid Response,05/01/2010,47.648456 -122.383358
Aid Response,05/01/2010,47.523246 -122.279209
Aid Response,05/01/2010,47.694186 -122.344565
Aid Response,05/01/2010,47.60739 -122.332564
"Medic Response, 7 per Rule",05/01/2010,47.602985 -122.328535
Aid Response,05/01/2010,47.6146 -122.342634
Aid Response,05/01/2010,47.602114 -122.330809
Aid Response,05/01/2010,47.550746 -122.370956
Automatic Fire Alarm Resd,05/01/2010,47.511111 -122.243056
Medic Response,05/01/2010,47.618597 -122.354147
Aid Response,05/01/2010,47.615027 -122.335199
