Type,Date,Location
Natural Gas Odor,03/01/2010,47.73097 -122.338597
Aid Response,03/01/2010,47.626331 -122.291977
Medic Response,03/01/2010,47.615391 -122.349498
Automatic Fire Alarm False,03/01/2010,47.639709 -122.410922
Aid Response,03/01/2010,47.611943 -122.325987
Aid Response,03/01/2010,47.719277 -122.294962
Medic Response,03/01/2010,47.619724 -122.343482
Aid Response,03/01/2010,47.573731 -122.372236
Aid Response,03/01/2010,47.613037 -122.326981
"Medic Response, 7 per Rule",03/01/2010,47.613134 -122.340152
Trans to AMR,03/01/2010,47.551937 -122.280445
Auto Fire Alarm,03/01/2010,47.581888 -122.335125
Aid Response,03/01/2010,47.654146 -122.360063
Aid Response,03/01/2010,47.611943 -122.325987
Medic Response,03/01/2010,47.509597 -122.374625
Aid Response,03/01/2010,47.602985 -122.328535
Aid Response,03/01/2010,47.611943 -122.325987
Aid Response,03/01/2010,47.601718 -122.336582
Aid Response,03/01/2010,47.596486 -122.329046
"Hang-Up, Aid",03/01/2010,47.599968 -122.328965
Aid Response,03/01/2010,47.602172 -122.330863
Aid Response,03/01/2010,47.614788 -122.342952
Aid Response,03/01/2010,47.609338 -122.325139
Aid Response,03/01/2010,47.56865 -122.313448
Medic Response,03/01/2010,47.608966 -122.341682
Medic Response,03/01/2010,47.536144 -122.282358
Aid Response,03/01/2010,47.709995 -122.32296
Aid Response,03/01/2010,47.614828 -122.343019
Automatic Medical Alarm,03/01/2010,47.608796 -122.329251
Aid Response,03/01/2010,47.720921 -122.282953
Aid Response,03/01/2010,47.619929 -122.317927
Rescue Lock In/Out,03/01/2010,47.626285 -122.348596
Aid Response,03/01/2010,47.609343 -122.325128
Medic Response,03/01/2010,47.545726 -122.369584
Aid Response,03/01/2010,47.617474 -122.345512
Medic Response,03/01/2010,47.658298 -122.317782
Aid Response,03/01/2010,47.611173 -122.344772
Aid Response,03/01/2010,47.539749 -122.322441
Medic Response,03/01/2010,47.612728 -122.333956
Aid Response,03/01/2010,47.610743 -122.338702
Trans to AMR,03/01/2010,47.619807 -122.35283
Aid Response,03/01/2010,47.633074 -122.325824
Medic Response,03/01/2010,47.538479 -122.276702
Aid Response,03/01/2010,47.602172 -122.330863
Medic Response,03/01/2010,47.681559 -122.279024
Medic Response,03/01/2010,47.560119 -122.385486
Aid Response,03/01/2010,47.539803 -122.269756
Aid Response,03/01/2010,47.641207 -122.346471
Trans to AMR,03/01/2010,47.661318 -122.320611
Trans to AMR,03/01/2010,47.71583 -122.318021
Aid Response,03/01/2010,47.719544 -122.295076
Medic Response,03/01/2010,47.72343 -122.348165
Assault w/Weap 7 per Rule,03/01/2010,47.560992 -122.38546
Aid Response,03/01/2010,47.649781 -122.357692
Automatic Fire Alarm Resd,03/01/2010,47.679595 -122.398385
Medic Response,03/01/2010,47.618576 -122.348925
Aid Response Yellow,03/01/2010,47.61695 -122.352561
Aid Response,03/01/2010,47.614431 -122.320786
Medic Response,03/01/2010,47.547312 -122.278145
Fire in Single Family Res,03/01/2010,47.614091 -122.287082
Medic Response,03/01/2010,47.581214 -122.391903
Trans to AMR,03/01/2010,47.611557 -122.330191
Medic Response,03/01/2010,47.678556 -122.326837
Medic Response,03/01/2010,47.581214 -122.391903
Auto Fire Alarm,03/01/2010,47.615283 -122.314091
Aid Response,03/01/2010,47.563507 -122.324034
Rescue Elevator,03/01/2010,47.667995 -122.299554
Medic Response,03/01/2010,47.643546 -122.388937
Aid Response,03/01/2010,47.510176 -122.273398
Aid Response,03/01/2010,47.520147 -122.269719
Aid Response,03/01/2010,47.587882 -122.321391
Medic Response,03/01/2010,47.560074 -122.304791
Aid Response,03/01/2010,47.569829 -122.388104
Trans to AMR,03/02/2010,47.712305 -122.339596
Auto Fire Alarm,03/02/2010,47.591454 -122.317281
Medic Response,03/02/2010,47.60916 -122.33264
Aid Response,03/02/2010,47.670912 -122.384743
Aid Response,03/02/2010,47.613011 -122.326948
Aid Response,03/02/2010,47.631378 -122.359203
Medic Response,03/02/2010,47.719433 -122.29273
Medic Response,03/02/2010,47.573784 -122.308819
Aid Response,03/02/2010,47.606337 -122.334672
Aid Response,03/02/2010,47.681803 -122.349661
Auto Fire Alarm,03/02/2010,47.609383 -122.335923
Medic Response,03/02/2010,47.71639 -122.358221
Aid Response,03/02/2010,47.723571 -122.344981
Motor Vehicle Accident Freeway,03/02/2010,47.630275 -122.326301
Aid Response,03/02/2010,47.615689 -122.352409
Aid Response,03/02/2010,47.559901 -122.316085
Medic Response,03/02/2010,47.557396 -122.393606
Aid Response,03/02/2010,47.58117 -122.383264
Medic Response,03/02/2010,47.602172 -122.330863
Aid Response,03/02/2010,47.616403 -122.320817
Aid Response,03/02/2010,47.569117 -122.296982
Aid Response,03/02/2010,47.544573 -122.376448
Motor Vehicle Accident,03/02/2010,47.574384 -122.329059
Trans to AMR,03/02/2010,47.641207 -122.284528
Motor Vehicle Accident,03/02/2010,47.61855 -122.342402
Aid Response,03/02/2010,47.648554 -122.364891
Aid Response,03/02/2010,47.698825 -122.34462
Aid Response,03/02/2010,47.701756 -122.335022
Medic Response,03/02/2010,47.641242 -122.281362
Medic Response,03/02/2010,47.602985 -122.328535
"Hang-Up, Aid",03/02/2010,47.612626 -122.341277
Medic Response,03/02/2010,47.573182 -122.386763
Aid Response,03/02/2010,47.616804 -122.324493
Trans to AMR,03/02/2010,47.54439 -122.385758
Aid Response,03/02/2010,47.537954 -122.361092
Aid Response,03/02/2010,47.567893 -122.290446
Aid Response,03/02/2010,47.616348 -122.324487
Trans to AMR,03/02/2010,47.600881 -122.335976
Medic Response,03/02/2010,47.55331 -122.313474
Aid Response,03/02/2010,47.663106 -122.315263
Medic Response,03/02/2010,47.725503 -122.355552
Aid Response,03/02/2010,47.701423 -122.341929
Aid Response,03/02/2010,47.688426 -122.286228
Automatic Fire Alarm Resd,03/02/2010,47.508785 -122.269832
"Mutual Aid, Medic",03/02/2010,47.746342 -122.31444
Auto Fire Alarm,03/02/2010,47.604263 -122.332774
Aid Response Yellow,03/02/2010,47.605829 -122.326456
Aid Response,03/02/2010,47.673048 -122.392977
Auto Fire Alarm,03/02/2010,47.61409 -122.337592
Medic Response,03/02/2010,47.600878 -122.331215
Aid Response,03/02/2010,47.617173 -122.333103
Aid Response,03/02/2010,47.598349 -122.323294
Aid Response,03/02/2010,47.608658 -122.329124
Medic Response,03/02/2010,47.599071 -122.331578
Medic Response,03/02/2010,47.676048 -122.30382
Aid Response,03/02/2010,47.592394 -122.329049
Trans to AMR,03/02/2010,47.626221 -122.329198
Rubbish Fire,03/02/2010,47.611066 -122.340625
Aid Response,03/02/2010,47.610155 -122.333545
Aid Response,03/02/2010,47.575888 -122.409437
Medic Response,03/02/2010,47.667314 -122.319526
Aid Response,03/02/2010,47.612889 -122.316733
Aid Response,03/02/2010,47.586172 -122.31728
Trans to AMR,03/02/2010,47.604553 -122.303731
Aid Response,03/02/2010,47.582481 -122.312092
Medic Response,03/02/2010,47.641207 -122.346471
Aid Response,03/02/2010,47.664393 -122.283353
Aid Response,03/02/2010,47.601714 -122.327656
Aid Response,03/02/2010,47.6523 -122.279407
Aid Response,03/02/2010,47.679461 -122.322756
Aid Response,03/02/2010,47.698678 -122.33505
Motor Vehicle Accident,03/02/2010,47.533728 -122.372564
Motor Vehicle Accident,03/02/2010,47.542476 -122.272808
Aid Response,03/02/2010,47.622174 -122.320909
Illegal Burn,03/02/2010,47.625393 -122.339735
Aid Response,03/02/2010,47.601714 -122.327656
Aid Response,03/02/2010,47.701325 -122.323127
Medic Response,03/02/2010,47.59415 -122.32905
Aid Response,03/02/2010,47.667119 -122.29836
Aid Response,03/02/2010,47.617638 -122.329925
"Hang-Up, Aid",03/02/2010,47.61393 -122.327805
Aid Response,03/02/2010,47.638013 -122.370325
Automatic Fire Alarm Resd,03/02/2010,47.526115 -122.285749
Aid Response,03/02/2010,47.539866 -122.357245
Auto Fire Alarm,03/02/2010,47.670913 -122.385203
Aid Response,03/02/2010,47.612398 -122.340892
Medic Response,03/02/2010,47.668548 -122.310746
Aid Response,03/02/2010,47.601714 -122.327656
Aid Response,03/02/2010,47.543019 -122.385789
Motor Vehicle Accident,03/02/2010,47.5645 -122.339439
Aid Response,03/02/2010,47.665909 -122.384078
Medic Response,03/02/2010,47.601649 -122.302324
Investigate Out Of Service,03/02/2010,47.578453 -122.313354
Aid Response,03/02/2010,47.67595 -122.329611
Aid Response,03/02/2010,47.622046 -122.320907
"Hang-Up, Aid",03/02/2010,47.608761 -122.336874
Aid Response,03/02/2010,47.548231 -122.376372
Aid Response,03/02/2010,47.604841 -122.324097
Aid Response,03/02/2010,47.566383 -122.389449
Fire in Building,03/02/2010,47.715549 -122.292853
